指标名称,唐山市AQI全国当日排名,唐山市PM2.5,唐山市AQI
2018/9/13,6,67,122
2018/9/14,14,82,110
2018/9/15,81,47,69
2018/9/16,69,30,60
2018/9/17,29,26,75
2018/9/18,58,36,65
2018/9/19,5,78,104
2018/9/20,35,60,82
2018/9/21,64,44,71
2018/9/22,223,17,45
2018/9/23,246,19,38
2018/9/24,214,18,42
2018/9/25,23,46,75
2018/9/26,48,35,70
2018/9/27,69,46,70
2018/9/28,151,40,57
2018/9/29,177,30,58
2018/9/30,263,18,39
2018/10/1,185,24,53
2018/10/2,160,33,65
2018/10/3,47,60,101
2018/10/4,112,69,93
2018/10/5,105,63,100
2018/10/6,204,36,61
2018/10/7,196,26,59
2018/10/8,147,43,77
2018/10/9,241,21,46
2018/10/10,221,23,47
2018/10/11,186,27,55
2018/10/12,97,45,78
2018/10/13,1,106,139
2018/10/14,10,94,124
2018/10/15,6,110,144
2018/10/16,62,58,79
2018/10/17,106,41,70
2018/10/18,41,51,81
2018/10/19,20,59,94
2018/10/20,13,84,112
2018/10/21,14,110,144
2018/10/22,15,90,119
2018/10/23,176,23,56
2018/10/24,28,68,103
2018/10/25,1,146,195
2018/10/26,198,19,54
2018/10/27,251,22,49
2018/10/28,272,18,41
2018/10/29,220,24,51
2018/10/30,185,38,63
2018/10/31,76,57,83
2018/11/1,34,75,100
2018/11/2,42,79,105
2018/11/3,10,110,144
2018/11/4,9,102,134
2018/11/5,186,30,50
2018/11/6,63,35,60
2018/11/7,26,56,78
2018/11/8,23,72,97
2018/11/9,60,58,79
2018/11/10,148,29,63
2018/11/11,67,53,83
2018/11/12,51,90,119
2018/11/13,6,156,206
2018/11/14,3,190,240
2018/11/15,15,139,185
2018/11/16,87,28,55
2018/11/17,24,55,79
2018/11/18,34,66,89
2018/11/19,21,94,124
2018/11/20,49,76,102
2018/11/21,97,41,69
2018/11/22,77,59,86
2018/11/23,36,90,119
2018/11/24,54,108,142
2018/11/25,32,170,220
2018/11/26,31,282,332
2018/11/27,51,157,207
2018/11/28,100,71,134
2018/11/29,133,56,98
2018/11/30,114,84,124
2018/12/1,108,98,129
2018/12/2,71,142,189
2018/12/3,82,79,140
2018/12/4,134,31,72
2018/12/5,55,62,104
2018/12/6,84,34,67
2018/12/7,40,34,65
2018/12/8,61,38,64
2018/12/9,42,52,94
2018/12/10,58,85,113
2018/12/11,113,63,85
2018/12/12,147,64,87
2018/12/13,210,48,70
2018/12/14,139,67,94
2018/12/15,30,128,169
2018/12/16,17,150,200
2018/12/17,188,42,69
2018/12/18,157,61,87
2018/12/19,113,84,112
2018/12/20,100,87,115
2018/12/21,152,64,87
2018/12/22,71,89,118
2018/12/23,163,28,58
2018/12/24,120,53,81
2018/12/25,109,58,84
2018/12/26,104,39,71
2018/12/27,139,26,58
2018/12/28,152,26,52
2018/12/29,185,30,52
2018/12/30,115,46,68
2018/12/31,31,90,119
2019/1/1,101,72,97
2019/1/2,121,79,105
2019/1/3,51,148,198
2019/1/4,105,79,105
2019/1/5,179,38,67
2019/1/6,162,64,89
2019/1/7,125,80,107
2019/1/8,177,43,68
2019/1/9,114,49,74
2019/1/10,66,99,130
2019/1/11,8,229,279
2019/1/12,11,279,329
2019/1/13,29,227,277
2019/1/14,43,190,240
2019/1/15,169,26,71
2019/1/16,112,52,78
2019/1/17,47,85,113
2019/1/18,3,159,209
2019/1/19,132,73,98
2019/1/20,203,32,56
2019/1/21,190,41,66
2019/1/22,178,60,82
2019/1/23,241,43,68
2019/1/24,197,63,85
2019/1/25,211,49,70
2019/1/26,206,37,67
2019/1/27,111,77,103
2019/1/28,258,32,56
2019/1/29,122,78,104
2019/1/30,105,82,109
2019/1/31,221,26,51
2019/2/1,26,86,114
2019/2/2,13,133,176
