指标名称,螺焦比,螺矿比
2013/10/24,2.2757,3.7985
2013/10/25,2.2852,3.7864
2013/10/28,2.2879,3.7842
2013/10/29,2.2951,3.7993
2013/10/30,2.1766,3.7961
2013/10/31,2.2646,3.9404
2013/11/1,2.2708,3.8907
2013/11/4,2.28,3.8704
2013/11/5,2.3009,3.8754
2013/11/6,2.2901,3.8677
2013/11/7,2.2997,3.8856
2013/11/8,2.319,3.9053
2013/11/11,2.3272,3.8977
2013/11/12,2.3266,3.9073
2013/11/13,2.3023,3.8721
2013/11/14,2.271,3.8606
2013/11/15,2.2673,3.8652
2013/11/18,2.261,3.8656
2013/11/19,2.2511,3.8504
2013/11/20,2.2437,3.8609
2013/11/21,2.2475,3.8749
2013/11/22,2.2435,3.8852
2013/11/25,2.2506,3.8927
2013/11/26,2.256,3.8946
2013/11/27,2.2667,3.9038
2013/11/28,2.2678,3.9136
2013/11/29,2.2696,3.9001
2013/12/2,2.2711,3.938
2013/12/3,2.2765,3.9414
2013/12/4,2.2712,3.9178
2013/12/5,2.2641,3.9072
2013/12/6,2.282,3.9255
2013/12/9,2.2944,3.9417
2013/12/10,2.2971,3.9438
2013/12/11,2.3052,3.9701
2013/12/12,2.3106,3.9979
2013/12/13,2.3527,4.045
2013/12/16,2.3614,4.0076
2013/12/17,2.3504,4.0131
2013/12/18,2.3507,4.0276
2013/12/19,2.3442,4.0231
2013/12/20,2.3594,4.0198
2013/12/23,2.3752,4.0527
2013/12/24,2.382,4.0211
2013/12/25,2.3788,4.0078
2013/12/26,2.3812,4.0382
2013/12/27,2.3901,3.9967
2013/12/30,2.3934,3.9452
2013/12/31,2.4386,3.9329
2014/1/2,2.4585,3.9536
2014/1/3,2.4739,3.9576
2014/1/6,2.4831,3.9529
2014/1/7,2.4611,3.897
2014/1/8,2.4543,3.891
2014/1/9,2.4907,3.9011
2014/1/10,2.5244,3.9578
2014/1/13,2.5138,3.9782
2014/1/14,2.5188,3.9828
2014/1/15,2.5202,3.9829
2014/1/16,2.5162,3.9704
2014/1/17,2.5241,3.9622
2014/1/20,2.5599,3.9919
2014/1/21,2.5492,4.0294
2014/1/22,2.5428,4.0188
2014/1/23,2.5523,3.9563
2014/1/24,2.5511,3.9623
2014/1/27,2.553,4.0081
2014/1/28,2.569,4.0012
2014/1/29,2.5569,3.9849
2014/1/30,2.5552,3.9804
2014/2/7,2.5757,3.979
2014/2/10,2.5544,3.9918
2014/2/11,2.5636,4.0035
2014/2/12,2.5678,3.9953
2014/2/13,2.5665,3.9836
2014/2/14,2.5838,3.9628
2014/2/17,2.5638,3.9608
2014/2/18,2.5645,3.962
2014/2/19,2.549,3.9815
2014/2/20,2.546,3.9766
2014/2/21,2.5511,3.9918
2014/2/24,2.582,4.029
2014/2/25,2.5897,4.0537
2014/2/26,2.587,4.0613
2014/2/27,2.5947,4.0797
2014/2/28,2.6027,4.0899
2014/3/3,2.6294,4.1464
2014/3/4,2.7432,4.2802
2014/3/5,2.754,4.2794
2014/3/6,2.7652,4.2818
2014/3/7,2.7851,4.3359
2014/3/10,2.7926,4.421
2014/3/11,2.7005,4.4036
2014/3/12,2.6703,4.4394
2014/3/13,2.674,4.4301
2014/3/14,2.7022,4.419
2014/3/17,2.6952,4.421
2014/3/18,2.6851,4.4507
2014/3/19,2.6821,4.4202
2014/3/20,2.6893,4.3737
2014/3/21,2.7411,4.3932
2014/3/24,2.7402,4.3918
2014/3/25,2.7268,4.3462
2014/3/26,2.7011,4.3325
2014/3/27,2.7109,4.2996
2014/3/28,2.7092,4.277
2014/3/31,2.7063,4.2155
2014/4/1,2.7262,4.1889
2014/4/2,2.7212,4.2287
2014/4/3,2.7013,4.2127
2014/4/4,2.6837,4.19
2014/4/8,2.6581,4.1474
2014/4/9,2.6724,4.1286
2014/4/10,2.6844,4.128
2014/4/11,2.6885,4.1453
2014/4/14,2.6781,4.1851
2014/4/15,2.6675,4.1756
2014/4/16,2.6442,4.1765
2014/4/17,2.6458,4.1794
2014/4/18,2.7002,4.1816
2014/4/21,2.712,4.1547
2014/4/22,2.7001,4.1703
2014/4/23,2.7244,4.1671
2014/4/24,2.7246,4.1456
2014/4/25,2.7189,4.1193
2014/4/28,2.735,4.2057
2014/4/29,2.7238,4.2185
2014/4/30,2.7498,4.2346
2014/5/5,2.7509,4.2199
2014/5/6,2.739,4.2029
2014/5/7,2.7185,4.2372
2014/5/8,2.7092,4.288
2014/5/9,2.6836,4.3098
2014/5/12,2.6475,4.3283
2014/5/13,2.639,4.2799
2014/5/14,2.6342,4.294
2014/5/15,2.6377,4.2652
2014/5/16,2.6629,4.2895
2014/5/19,2.6803,4.3573
2014/5/20,2.6707,4.3852
2014/5/21,2.6891,4.3499
2014/5/22,2.6852,4.318
2014/5/23,2.6832,4.3361
2014/5/26,2.6514,4.3538
2014/5/27,2.6467,4.3597
2014/5/28,2.6758,4.3944
2014/5/29,2.6701,4.4387
2014/5/30,2.6571,4.4803
2014/6/3,2.6447,4.4882
2014/6/4,2.6525,4.4556
2014/6/5,2.6274,4.4504
2014/6/6,2.6136,4.4637
2014/6/9,2.6155,4.4593
2014/6/10,2.6297,4.4686
2014/6/11,2.6362,4.4773
2014/6/12,2.6591,4.5284
2014/6/13,2.6596,4.5594
2014/6/16,2.6407,4.5582
2014/6/17,2.6418,4.5385
2014/6/18,2.6346,4.5187
2014/6/19,2.6415,4.5323
2014/6/20,2.6591,4.4963
2014/6/23,2.669,4.4406
2014/6/24,2.6839,4.4693
2014/6/25,2.6862,4.4472
2014/6/26,2.6933,4.3785
2014/6/27,2.7009,4.3562
2014/6/30,2.7167,4.4034
2014/7/1,2.7201,4.4124
2014/7/2,2.7287,4.3413
2014/7/3,2.7447,4.324
2014/7/4,2.7688,4.3553
2014/7/7,2.7888,4.3954
2014/7/8,2.7851,4.3681
2014/7/9,2.7905,4.3766
2014/7/10,2.8159,4.4068
2014/7/11,2.8502,4.4144
2014/7/14,2.8888,4.3958
2014/7/15,2.8712,4.3788
2014/7/16,2.8843,4.3747
2014/7/17,2.8786,4.3947
2014/7/18,2.8442,4.4339
2014/7/21,2.8129,4.449
2014/7/22,2.643,4.4267
2014/7/23,2.6743,4.5411
2014/7/24,2.6944,4.5744
2014/7/25,2.7016,4.5539
2014/7/28,2.7269,4.5273
2014/7/29,2.7206,4.5197
2014/7/30,2.7152,4.548
2014/7/31,2.7267,4.5324
2014/8/1,2.7422,4.5445
2014/8/4,2.7536,4.5621
2014/8/5,2.735,4.5358
2014/8/6,2.739,4.5609
2014/8/7,2.7349,4.5674
2014/8/8,2.7159,4.5884
2014/8/11,2.7148,4.5825
2014/8/12,2.7282,4.5961
2014/8/13,2.7259,4.5979
2014/8/14,2.7589,4.622
2014/8/15,2.7667,4.5888
2014/8/18,2.7362,4.6006
2014/8/19,2.7441,4.6212
2014/8/20,2.7282,4.6098
2014/8/21,2.722,4.6151
2014/8/22,2.7059,4.6285
2014/8/25,2.6869,4.6174
2014/8/26,2.6649,4.6037
2014/8/27,2.6557,4.6371
2014/8/28,2.6621,4.7002
2014/8/29,2.6603,4.6842
2014/9/1,2.6534,4.7085
2014/9/2,2.6296,4.6502
2014/9/3,2.5971,4.69
2014/9/4,2.5924,4.7326
2014/9/5,2.6004,4.8166
2014/9/9,2.6101,4.7504
2014/9/10,2.5989,4.7402
2014/9/11,2.5856,4.7248
2014/9/12,2.5873,4.7046
2014/9/15,2.5963,4.7265
2014/9/16,2.5772,4.6968
2014/9/17,2.5647,4.6784
2014/9/18,2.5491,4.6813
2014/9/19,2.5315,4.7133
2014/9/22,2.5014,4.7304
2014/9/23,2.4717,4.6953
2014/9/24,2.4592,4.669
2014/9/25,2.4414,4.6541
2014/9/26,2.4494,4.6315
2014/9/29,2.4141,4.6472
2014/9/30,2.4179,4.646
2014/10/8,2.3887,4.5787
2014/10/9,2.3559,4.5676
2014/10/10,2.3744,4.5587
2014/10/13,2.4115,4.5491
2014/10/14,2.4257,4.5119
2014/10/15,2.4442,4.5489
2014/10/16,2.4623,4.6596
2014/10/17,2.4701,4.6702
2014/10/20,2.4094,4.526
2014/10/21,2.41,4.5078
2014/10/22,2.3622,4.4497
2014/10/23,2.3392,4.8435
2014/10/24,2.3142,4.8125
2014/10/27,2.3161,4.8295
2014/10/28,2.3392,4.8755
2014/10/29,2.3535,4.8912
2014/10/30,2.3742,4.8596
2014/10/31,2.3707,4.844
2014/11/3,2.3505,4.8615
2014/11/4,2.3832,4.9228
2014/11/5,2.3861,4.9246
2014/11/6,2.3754,4.9803
2014/11/7,2.3756,4.9608
2014/11/10,2.3881,4.9903
2014/11/11,2.3854,5.0098
2014/11/12,2.3901,5.0098
2014/11/13,2.3743,5.002
2014/11/14,2.369,4.9763
2014/11/17,2.3653,4.9684
2014/11/18,2.3292,5.0041
2014/11/19,2.3264,5.1366
2014/11/20,2.3194,5.1408
2014/11/21,2.3156,5.172
2014/11/24,2.3104,5.1597
2014/11/25,2.372,5.2613
2014/11/26,2.3663,5.2743
2014/11/27,2.3831,5.2489
2014/11/28,2.4395,5.2412
2014/12/1,2.4562,5.2824
2014/12/2,2.4301,5.261
2014/12/3,2.4399,5.2788
2014/12/4,2.4668,5.2306
2014/12/5,2.4682,5.25
2014/12/8,2.485,5.249
2014/12/9,2.4697,5.2908
2014/12/10,2.4791,5.3139
2014/12/11,2.4976,5.3313
2014/12/12,2.4741,5.3155
2014/12/15,2.4803,5.3018
2014/12/16,2.4603,5.3333
2014/12/17,2.4684,5.2697
2014/12/18,2.4665,5.2115
2014/12/19,2.4749,5.2224
2014/12/22,2.4553,5.2037
2014/12/23,2.4573,5.2038
2014/12/24,2.4731,5.2274
2014/12/25,2.4618,5.2185
2014/12/26,2.4638,5.2232
2014/12/29,2.4881,5.225
2014/12/30,2.4971,5.2056
2014/12/31,2.4957,5.1043
2015/1/5,2.4816,5.112
2015/1/6,2.4876,5.0817
2015/1/7,2.4629,5.0607
2015/1/8,2.4409,5.0391
2015/1/9,2.428,5.0275
2015/1/12,2.4254,5.0039
2015/1/13,2.416,5.016
2015/1/14,2.4029,5.0141
2015/1/15,2.3944,4.98
2015/1/16,2.4015,4.9546
2015/1/19,2.3887,4.9722
2015/1/20,2.4151,4.9643
2015/1/21,2.4017,5.0262
2015/1/22,2.3948,5.084
2015/1/23,2.406,5.1729
2015/1/26,2.4137,5.2272
2015/1/27,2.3971,5.2277
2015/1/28,2.4072,5.2447
2015/1/29,2.4294,5.2637
2015/1/30,2.4414,5.2743
2015/2/2,2.4327,5.277
2015/2/3,2.4179,5.205
2015/2/4,2.4093,5.2185
2015/2/5,2.4054,5.2321
2015/2/6,2.4006,5.2248
2015/2/9,2.3961,5.2211
2015/2/10,2.4019,5.2117
2015/2/11,2.4056,5.1879
2015/2/12,2.4037,5.1946
2015/2/13,2.4143,5.1564
2015/2/16,2.437,5.1255
2015/2/17,2.437,5.1222
2015/2/25,2.4402,5.1639
2015/2/26,2.4399,5.157
2015/2/27,2.4311,5.1173
2015/3/2,2.4078,5.106
2015/3/3,2.4153,5.1056
2015/3/4,2.4127,5.1378
2015/3/5,2.4284,5.2651
2015/3/6,2.4281,5.3122
2015/3/9,2.4716,5.4956
2015/3/10,2.4563,5.4668
2015/3/11,2.4542,5.4878
2015/3/12,2.4746,5.4539
2015/3/13,2.49,5.4585
2015/3/16,2.508,5.5254
2015/3/17,2.5216,5.5253
2015/3/18,2.5335,5.6644
2015/3/19,2.5341,5.6758
2015/3/20,2.5403,5.7041
2015/3/23,2.6023,5.831
2015/3/24,2.6391,5.8132
2015/3/25,2.6506,5.7803
2015/3/26,2.6288,5.8005
2015/3/27,2.6201,5.8592
2015/3/30,2.5799,5.9351
