指标名称,全国建筑钢材成交量:主流贸易商:合计(日)
2019/4/1,279196
2019/4/2,238525.271
2019/4/3,223540
2019/4/4,196351
2019/4/8,331627.953
2019/4/9,211154
2019/4/10,198989.815
2019/4/11,201230
2019/4/12,204460.757
2019/4/15,273644.256
2019/4/16,174788.869
2019/4/17,190961
2019/4/18,161874
2019/4/19,237866.531
2019/4/22,214997
2019/4/23,174642.085
2019/4/24,178115.279
2019/4/25,239708.825
2019/4/26,192632.855
2019/4/28,204255.842
2019/4/29,214597.974
2019/4/30,198925.642
2019/5/5,237652.903
2019/5/6,168100.235
2019/5/7,231560.123
2019/5/8,168411.293
2019/5/9,170652.196
2019/5/10,222977.23
2019/5/13,192065.695
2019/5/14,176764.026
2019/5/15,229553.411
2019/5/16,219931.627
2019/5/17,229158.066
2019/5/20,208270.49
2019/5/21,271377.535
2019/5/22,185191.588
2019/5/23,170504.711
2019/5/24,200882.914
2019/5/27,180722.992
2019/5/28,165891.185
2019/5/29,162981.729
2019/5/30,161739
2019/5/31,186823.219
2019/6/3,185864.619
2019/6/4,257687.422
2019/6/5,184947.518
2019/6/6,174583.398
2019/6/10,200005.032
2019/6/11,262640.84
2019/6/12,155997
2019/6/13,165183.824
2019/6/14,186579.384
2019/6/17,184710.384
2019/6/18,193447.582
2019/6/19,171800.279
2019/6/20,177744.84
2019/6/21,182171.54
2019/6/24,233549.35
2019/6/25,194674.587
2019/6/26,154512.677
2019/6/27,194850.197
2019/6/28,178480.16
2019/7/1,219038.977
2019/7/2,161654.301
2019/7/3,156989.264
2019/7/4,173179.022
2019/7/5,156576.51
2019/7/8,185879.958
2019/7/9,212138.296
2019/7/10,150823
2019/7/11,185968.51
2019/7/12,168503.209
2019/7/15,247491.224
2019/7/16,188321.116
2019/7/17,183498.31
2019/7/18,160195
2019/7/19,219059.71
2019/7/22,208049.333
2019/7/23,164008.067
2019/7/24,149477
2019/7/25,219191
2019/7/26,178038
2019/7/29,171611.495
2019/7/30,202932
2019/7/31,164324
2019/8/1,144843
2019/8/2,169167
2019/8/5,167432
2019/8/6,160244
2019/8/7,179138
2019/8/8,200709
2019/8/9,142246
2019/8/12,213799
2019/8/13,193610
2019/8/14,160718
2019/8/15,174300
2019/8/16,194797
2019/8/19,238281
2019/8/20,156210
2019/8/21,169851
2019/8/22,203583
2019/8/23,201247
2019/8/26,173459
2019/8/27,156601
2019/8/28,204400
2019/8/29,155155
2019/8/30,216126
2019/9/2,269875
2019/9/3,181571
2019/9/4,198961
2019/9/5,215163
2019/9/6,178706
2019/9/9,276614
2019/9/10,193132
2019/9/11,209890
2019/9/12,222876
2019/9/16,276225
2019/9/17,186518.51
2019/9/18,193006
2019/9/19,163870
2019/9/20,212841.933
2019/9/23,303060
2019/9/24,215201
2019/9/25,224358
2019/9/26,209898
2019/9/27,229127
2019/9/29,220808
2019/9/30,140216
2019/10/8,236373
2019/10/9,211601
2019/10/10,209217.53
2019/10/11,207011
2019/10/12,219487
2019/10/14,208844
2019/10/15,185768
2019/10/16,176965
2019/10/17,196906
2019/10/18,214506
2019/10/21,209226
2019/10/22,204971
2019/10/23,200522
2019/10/24,192574
2019/10/25,214850
2019/10/28,220074
2019/10/29,217487
2019/10/30,213998
2019/10/31,203900
2019/11/1,202546
2019/11/4,232833
2019/11/5,234818
2019/11/6,217442
2019/11/7,181323
2019/11/8,191056
2019/11/11,233945
2019/11/12,241485
2019/11/13,201250
2019/11/14,230306
2019/11/15,233752
2019/11/18,244763
2019/11/19,237649
2019/11/20,214755
2019/11/21,173155
2019/11/22,211338
2019/11/25,240888
2019/11/26,158784
2019/11/27,149685
2019/11/28,166891
2019/11/29,176065
2019/12/2,193126
2019/12/3,158964
2019/12/4,149335
2019/12/5,140875
2019/12/6,167127
2019/12/9,212535
2019/12/10,160826
2019/12/11,163811
2019/12/12,143048
2019/12/13,161943
2019/12/16,168310
2019/12/17,158172
2019/12/18,156019
2019/12/19,175500
2019/12/20,160455
2019/12/23,155154
2019/12/24,132252
2019/12/25,129245
2019/12/26,145418
2019/12/27,161138
2019/12/30,165508
2019/12/31,149910
2020/1/2,161485
2020/1/3,156129
2020/1/6,150041
2020/1/7,127661
2020/1/8,130966
2020/1/9,98439
2020/1/10,92655
2020/1/13,63566
2020/1/14,46990
2020/1/15,36901
2020/1/16,31141
2020/1/17,14181
2020/2/10,2278
2020/2/11,5034
2020/2/12,5560
2020/2/13,4976
2020/2/14,6835
2020/2/17,9538
2020/2/18,10219
2020/2/19,15656
2020/2/20,38712
2020/2/21,45928
2020/2/24,64470
2020/2/25,57570
2020/2/26,47142
2020/2/27,52067
2020/2/28,48350
2020/3/2,144501
2020/3/3,101581
2020/3/4,109069
2020/3/5,116295
2020/3/6,111318
2020/3/9,142354
2020/3/10,161909
2020/3/11,201068
2020/3/12,143254
2020/3/13,201464.526
2020/3/16,225603
2020/3/17,165304
2020/3/18,211665
2020/3/19,147187
2020/3/20,189795
2020/3/23,178488
2020/3/24,222179
2020/3/25,220210
2020/3/26,171379
2020/3/27,194652
2020/3/30,177493
2020/3/31,188124
2020/4/1,174588
2020/4/2,275406
2020/4/3,205268
2020/4/7,242740
2020/4/8,260590
2020/4/9,260047
2020/4/10,247891
2020/4/13,288953
2020/4/14,196145
2020/4/15,208577
2020/4/16,231737
2020/4/17,226064
2020/4/20,223406
2020/4/21,208052
2020/4/22,248782
2020/4/23,201406
2020/4/24,237426
2020/4/26,214955
2020/4/27,255098
2020/4/28,239700
2020/4/29,260013
2020/4/30,253742
2020/5/6,301752
2020/5/7,266159
2020/5/8,231511
2020/5/9,208660
2020/5/11,236964
2020/5/12,223609
2020/5/13,224909
2020/5/14,227889
2020/5/15,286423
2020/5/18,309344
2020/5/19,232261
2020/5/20,205615
2020/5/21,227629
2020/5/22,216909
2020/5/25,239907
2020/5/26,215370
2020/5/27,249661
2020/5/28,224169
2020/5/29,304314
2020/6/1,272121
2020/6/2,264725
2020/6/3,215405
2020/6/4,207783
2020/6/5,193895
2020/6/8,268472
2020/6/9,214962
2020/6/10,181491
2020/6/11,190900
2020/6/12,252109
2020/6/15,188010
2020/6/16,188966
2020/6/17,190715
2020/6/18,203947
2020/6/19,244688
2020/6/22,200635
2020/6/23,205508
2020/6/24,213482
2020/6/28,202148
2020/6/29,176094
2020/6/30,208876
2020/7/1,196294
2020/7/2,209965
