日期,螺纹钢:美国:市场价,螺纹钢:欧盟:市场价,螺纹钢:日本:市场价,螺纹钢:独联体:市场价,螺纹钢:土耳其:市场价
2014/1/2,739.00 ,679.00 ,598.00 ,590.00 ,590.00 
2014/1/10,739.00 ,674.00 ,598.00 ,565.00 ,590.00 
2014/1/16,739.00 ,674.00 ,598.00 ,565.00 ,590.00 
2014/1/24,761.00 ,684.00 ,602.00 ,565.00 ,575.00 
2014/1/28,761.00 ,690.00 ,612.00 ,565.00 ,575.00 
2014/2/8,761.00 ,664.00 ,667.00 ,565.00 ,570.00 
2014/2/14,761.00 ,657.00 ,667.00 ,565.00 ,570.00 
2014/2/20,755.00 ,650.00 ,664.00 ,540.00 ,570.00 
2014/2/28,755.00 ,650.00 ,664.00 ,540.00 ,560.00 
2014/3/7,755.00 ,654.00 ,670.00 ,540.00 ,560.00 
2014/3/13,755.00 ,638.00 ,658.00 ,540.00 ,560.00 
2014/3/20,755.00 ,646.00 ,669.00 ,530.00 ,560.00 
2014/3/28,755.00 ,646.00 ,663.00 ,530.00 ,570.00 
2014/4/4,755.00 ,647.00 ,663.00 ,530.00 ,580.00 
2014/4/10,761.00 ,646.00 ,663.00 ,530.00 ,580.00 
2014/4/17,761.00 ,656.00 ,669.00 ,530.00 ,585.00 
2014/4/24,761.00 ,656.00 ,663.00 ,530.00 ,585.00 
2014/5/9,761.00 ,652.00 ,661.00 ,530.00 ,585.00 
2014/5/15,761.00 ,652.00 ,666.00 ,530.00 ,580.00 
2014/5/23,761.00 ,652.00 ,666.00 ,530.00 ,580.00 
2014/5/28,761.00 ,652.00 ,667.00 ,530.00 ,575.00 
2014/6/5,761.00 ,645.00 ,656.00 ,545.00 ,565.00 
2014/6/13,755.00 ,645.00 ,656.00 ,545.00 ,565.00 
2014/6/20,750.00 ,629.00 ,656.00 ,535.00 ,565.00 
2014/6/26,750.00 ,632.00 ,657.00 ,535.00 ,560.00 
2014/7/4,750.00 ,628.00 ,657.00 ,535.00 ,555.00 
